corporate_number	company_name	email	industry	employees	subject	context	benefit	pl_impact	source_url
1011001117764	レバレジーズオフィスサポート株式会社	info@leverages.jp	人材派遣	1150	【8/6無料】Claude×Salesforceで営業定型業務を自動化	人材派遣サービスを展開	求人企業・案件・登録スタッフ・稼働履歴を横断して整理し、日報・週報や失注理由の集計を自動化することで、営業担当者がマッチングと顧客フォローへ集中できます	休眠求人・再稼働候補の掘り起こし、充足率・稼働率の向上、営業管理工数の削減	https://leverages.jp/company/profile/
1011101049973	株式会社エクスプレス・エージェント	info@ex-agent.co.jp	人材派遣	1220	【8/6無料】Claude×Salesforceで営業定型業務を自動化	人材派遣サービスを展開	求人企業・案件・登録スタッフ・稼働履歴を横断して整理し、日報・週報や失注理由の集計を自動化することで、営業担当者がマッチングと顧客フォローへ集中できます	休眠求人・再稼働候補の掘り起こし、充足率・稼働率の向上、営業管理工数の削減	https://www.ex-agent.co.jp/company/
1180001095079	株式会社スタッフシュウエイ	honsya@syuei.biz	人材派遣	2448	【8/6無料】Claude×Salesforceで営業定型業務を自動化	人材派遣サービスを展開	求人企業・案件・登録スタッフ・稼働履歴を横断して整理し、日報・週報や失注理由の集計を自動化することで、営業担当者がマッチングと顧客フォローへ集中できます	休眠求人・再稼働候補の掘り起こし、充足率・稼働率の向上、営業管理工数の削減	http://www.staff-syuei.biz/
1230001011848	アシストユー株式会社	honsha@assist-y.co.jp	人材派遣	373	【8/6無料】Claude×Salesforceで営業定型業務を自動化	人材派遣サービスを展開	求人企業・案件・登録スタッフ・稼働履歴を横断して整理し、日報・週報や失注理由の集計を自動化することで、営業担当者がマッチングと顧客フォローへ集中できます	休眠求人・再稼働候補の掘り起こし、充足率・稼働率の向上、営業管理工数の削減	http://www.haken-assistyou.com/
2020001016743	エヌエス・テック株式会社	info@nstec.co.jp	人材派遣	1347	【8/6無料】Claude×Salesforceで営業定型業務を自動化	人材派遣サービスを展開	求人企業・案件・登録スタッフ・稼働履歴を横断して整理し、日報・週報や失注理由の集計を自動化することで、営業担当者がマッチングと顧客フォローへ集中できます	休眠求人・再稼働候補の掘り起こし、充足率・稼働率の向上、営業管理工数の削減	https://www.nstec.co.jp/aboutus/
2020001024829	株式会社アーデントスタッフ	info@ardent-staff.com	人材派遣	992	【8/6無料】Claude×Salesforceで営業定型業務を自動化	人材派遣サービスを展開	求人企業・案件・登録スタッフ・稼働履歴を横断して整理し、日報・週報や失注理由の集計を自動化することで、営業担当者がマッチングと顧客フォローへ集中できます	休眠求人・再稼働候補の掘り起こし、充足率・稼働率の向上、営業管理工数の削減	https://www.ardent-staff.com/
1240001012779	株式会社サンネット	info@csunnet.co.jp	Webアプリ・サービス運営	384	【8/6無料】Claude×Salesforceで営業定型業務を自動化	Webアプリケーションやデジタルサービスを企画・運営	顧客・商談・利用状況・問い合わせ履歴を横断して整理し、案件報告や失注分析を自動化することで、営業担当者が導入・活用提案へ集中できます	商談管理工数の削減、更新・アップセル機会の早期発見、受注率と継続収益の向上	http://www.csunnet.co.jp/company/office/
1370001009911	株式会社日立ソリューションズ東日本	hse-info@hitachi-solutions.com	Webアプリ・サービス運営	1258	【8/6無料】Claude×Salesforceで営業定型業務を自動化	Webアプリケーションやデジタルサービスを企画・運営	顧客・商談・利用状況・問い合わせ履歴を横断して整理し、案件報告や失注分析を自動化することで、営業担当者が導入・活用提案へ集中できます	商談管理工数の削減、更新・アップセル機会の早期発見、受注率と継続収益の向上	http://www.hitachi-solutions-east.co.jp/index.html
2010001034705	株式会社ユニバーサルコムピューターシステム	kikakubu@ucs.jp	Webアプリ・サービス運営	367	【8/6無料】Claude×Salesforceで営業定型業務を自動化	Webアプリケーションやデジタルサービスを企画・運営	顧客・商談・利用状況・問い合わせ履歴を横断して整理し、案件報告や失注分析を自動化することで、営業担当者が導入・活用提案へ集中できます	商談管理工数の削減、更新・アップセル機会の早期発見、受注率と継続収益の向上	https://www.ucs.jp/ucs_web/
2180001040422	株式会社プロトコーポレーション	pdm@proto-g.co.jp	Webアプリ・サービス運営	594	【8/6無料】Claude×Salesforceで営業定型業務を自動化	Webアプリケーションやデジタルサービスを企画・運営	顧客・商談・利用状況・問い合わせ履歴を横断して整理し、案件報告や失注分析を自動化することで、営業担当者が導入・活用提案へ集中できます	商談管理工数の削減、更新・アップセル機会の早期発見、受注率と継続収益の向上	https://www.proto-g.co.jp/proto/outline-html/
2180001049694	トヨタコネクティッド株式会社	info@mail.toyotaconnected.co.jp	Webアプリ・サービス運営	766	【8/6無料】Claude×Salesforceで営業定型業務を自動化	Webアプリケーションやデジタルサービスを企画・運営	顧客・商談・利用状況・問い合わせ履歴を横断して整理し、案件報告や失注分析を自動化することで、営業担当者が導入・活用提案へ集中できます	商談管理工数の削減、更新・アップセル機会の早期発見、受注率と継続収益の向上	https://toyotaconnected.co.jp/company/profile.html
3010001152794	株式会社アルテニカ	info@artenica.jp	Webアプリ・サービス運営	944	【8/6無料】Claude×Salesforceで営業定型業務を自動化	Webアプリケーションやデジタルサービスを企画・運営	顧客・商談・利用状況・問い合わせ履歴を横断して整理し、案件報告や失注分析を自動化することで、営業担当者が導入・活用提案へ集中できます	商談管理工数の削減、更新・アップセル機会の早期発見、受注率と継続収益の向上	https://artenica.jp/
3010401089133	キヤノン電子テクノロジー株式会社	sales-info@canon-electec.co.jp	Webアプリ・サービス運営	431	【8/6無料】Claude×Salesforceで営業定型業務を自動化	Webアプリケーションやデジタルサービスを企画・運営	顧客・商談・利用状況・問い合わせ履歴を横断して整理し、案件報告や失注分析を自動化することで、営業担当者が導入・活用提案へ集中できます	商談管理工数の削減、更新・アップセル機会の早期発見、受注率と継続収益の向上	https://www.canon-electec.co.jp/profile/
2140001066982	モラブ阪神工業株式会社	info_sin@morabu.com	受託開発	729	【8/6無料】Claude×Salesforceで営業定型業務を自動化	顧客企業向けのシステム開発・導入支援を展開	顧客・案件・提案・技術要件を横断して整理し、定例レポートや失注理由の分析を自動化することで、営業と技術担当者が提案設計へ集中できます	提案準備工数の削減、類似案件の知見再利用、追加開発・保守案件の早期発見による案件粗利の向上	https://morabu.com/company/access/
2180001046790	エイム株式会社	info@aim-info.co.jp	受託開発	477	【8/6無料】Claude×Salesforceで営業定型業務を自動化	顧客企業向けのシステム開発・導入支援を展開	顧客・案件・提案・技術要件を横断して整理し、定例レポートや失注理由の分析を自動化することで、営業と技術担当者が提案設計へ集中できます	提案準備工数の削減、類似案件の知見再利用、追加開発・保守案件の早期発見による案件粗利の向上	https://www.aim-info.co.jp/company/
2330001000063	株式会社ＲＫＫＣＳ	info@rkkcs.co.jp	受託開発	685	【8/6無料】Claude×Salesforceで営業定型業務を自動化	顧客企業向けのシステム開発・導入支援を展開	顧客・案件・提案・技術要件を横断して整理し、定例レポートや失注理由の分析を自動化することで、営業と技術担当者が提案設計へ集中できます	提案準備工数の削減、類似案件の知見再利用、追加開発・保守案件の早期発見による案件粗利の向上	https://www.rkkcs.co.jp/company/
3010701001012	株式会社ＩＣ	info@ic-net.co.jp	受託開発	731	【8/6無料】Claude×Salesforceで営業定型業務を自動化	顧客企業向けのシステム開発・導入支援を展開	顧客・案件・提案・技術要件を横断して整理し、定例レポートや失注理由の分析を自動化することで、営業と技術担当者が提案設計へ集中できます	提案準備工数の削減、類似案件の知見再利用、追加開発・保守案件の早期発見による案件粗利の向上	https://www.ic-net.co.jp/company/overview.html
4010601043384	ＰＣＩソリューションズ株式会社	info@pci-sol.com	受託開発	1053	【8/6無料】Claude×Salesforceで営業定型業務を自動化	顧客企業向けのシステム開発・導入支援を展開	顧客・案件・提案・技術要件を横断して整理し、定例レポートや失注理由の分析を自動化することで、営業と技術担当者が提案設計へ集中できます	提案準備工数の削減、類似案件の知見再利用、追加開発・保守案件の早期発見による案件粗利の向上	https://www.pci-sol.com/corporate/
4011001017375	株式会社ＮＴＴデータ・ニューソン	info_newson@newson.co.jp	受託開発	601	【8/6無料】Claude×Salesforceで営業定型業務を自動化	顧客企業向けのシステム開発・導入支援を展開	顧客・案件・提案・技術要件を横断して整理し、定例レポートや失注理由の分析を自動化することで、営業と技術担当者が提案設計へ集中できます	提案準備工数の削減、類似案件の知見再利用、追加開発・保守案件の早期発見による案件粗利の向上	https://www.newson.co.jp/about/corporate/
