corporate_number	company_name	middle_industry	precheck_status	note
1010001009823	アース環境サービス株式会社	業務請負	required_info_missing	郵便番号・住所が必須
1010001012983	株式会社大塚商会	Webアプリ・サービス運営	channel_mismatch	顧客向けマイページの問い合わせ窓口
1010001034565	株式会社ぐるなび	Webアプリ・サービス運営	eligible	一般企業問い合わせフォーム
1010001048061	株式会社センチュリーアンドカンパニー	人材派遣	eligible	法人担当者向け問い合わせフォーム
1010001089262	株式会社プレステージ・インターナショナル	業務請負	needs_navigation	問い合わせカテゴリ選択ページ
1010001118723	新日本コンピュータマネジメント株式会社	ITインフラストラクチャー	url_invalid	保存URLが404
1010001130091	株式会社グッドワークコミュニケーションズ	業務請負	eligible	一般問い合わせフォーム
1010001145981	株式会社プライムアシスタンス	業務請負	url_invalid	保存URLが404
1010001160295	株式会社ＭＪテクノロジー	人材紹介	captcha	reCAPTCHAフィールドあり
1010401014423	株式会社ジャパンテクニカルソフトウェア	Webアプリ・サービス運営	eligible	サービス問い合わせフォーム
1010401016618	大東建託パートナーズ株式会社	不動産管理	needs_navigation	電話番号起点の問い合わせ導線
1010401059022	オリックス・システム株式会社	Webアプリ・サービス運営	channel_mismatch	オリックスグループ総合窓口
1010401063016	エムスリー株式会社	Webアプリ・サービス運営	needs_navigation	問い合わせカテゴリ選択ページ
1010401088946	エムスリーキャリア株式会社	人材紹介	needs_navigation	問い合わせカテゴリ選択ページ
1010401091677	株式会社テクノプロ・コンストラクション	人材派遣	needs_navigation	フォーム本体未表示
1010401146357	株式会社Ｗｏｒｋｓ　Ｈｕｍａｎ　Ｉｎｔｅｌｌｉｇｅｎｃｅ	受託開発	needs_navigation	問い合わせカテゴリ選択ページ
1010701016549	三菱総研ＤＣＳ株式会社	Webアプリ・サービス運営	url_invalid	旧Salesforceドメインが名前解決不可
1010701021061	株式会社ランドコンピュータ	Webアプリ・サービス運営	eligible	一般問い合わせフォーム
1010701023818	株式会社ニコンシステム	Webアプリ・サービス運営	url_invalid	移転先が404
1011001016099	トゥエンティファースト株式会社	人材派遣	url_invalid	会社トップへ転送
1011001035512	株式会社ＭＩＸＩ	Webアプリ・サービス運営	url_invalid	保存URLが404
1011001047359	東急ビジネスサポート株式会社	人材派遣	channel_mismatch	東急百貨店側のフォーム
1011001058851	株式会社ロイヤリティマーケティング	クラウド系/SaaS/ASPサービス	eligible	一般問い合わせフォーム
1011001109084	アルサーガパートナーズ株式会社	受託開発	needs_navigation	フォーム本体未表示
1011101000234	株式会社アイザワビルサービス	不動産管理	eligible	一般問い合わせフォーム
1011101015802	二幸産業株式会社	不動産管理	required_info_missing	郵便番号・住所が必須
1011101025784	株式会社グローバルスタッフ	人材派遣	eligible	一般問い合わせフォーム
1011101037739	株式会社早稲田大学アカデミックソリューション	業務請負	eligible	一般問い合わせフォーム
1011101046616	株式会社ＮＳＤ	ITインフラストラクチャー	eligible	総合問い合わせフォーム
1011601010526	株式会社メッセ	人材派遣	url_invalid	ドメインが名前解決不可
1012801006446	キャストワン株式会社	人材派遣	url_invalid	保存URLが404
1020001028459	株式会社日立ソリューションズ・クリエイト	Webアプリ・サービス運営	eligible	企業問い合わせフォーム
1021001048554	株式会社ホットスタッフ厚木	人材派遣	eligible	一般問い合わせフォーム
1060001005264	株式会社ティー・シー・シー	人材紹介	eligible	一般問い合わせフォーム
1080001001575	株式会社サン	不動産管理	eligible	一般問い合わせフォーム
1120001056193	スミセイ情報システム株式会社	Webアプリ・サービス運営	eligible	総合問い合わせフォーム
1120001060014	朝日建物管理株式会社	不動産管理	prohibited	セールス・勧誘お断りの明示あり
1120001062472	株式会社パソナジョイナス	人材派遣	url_invalid	ドメインが名前解決不可
1120001101131	株式会社エム・ケイヒューマンネット	人材派遣	eligible	一般問い合わせフォーム
1120001108705	フードプロセス株式会社	業務請負	url_invalid	保存URLが404
1120001111592	株式会社エクシードジャパン	人材派遣	url_invalid	保存URLが404
1120001113985	株式会社アンフ・スタイル	人材派遣	needs_navigation	フォーム本体未表示
1180001031538	東海ソフト株式会社	ITインフラストラクチャー	needs_navigation	問い合わせカテゴリ選択ページ
1180001097728	名正運輸株式会社	業務請負	url_invalid	会社トップへ転送
1180301023755	株式会社クオリティージャパン	業務請負	eligible	一般問い合わせフォーム
1210001008573	株式会社ＡＬＬ　ＣＯＮＮＥＣＴ	Webアプリ・サービス運営	needs_navigation	問い合わせカテゴリ選択ページ
1220001003912	太平ビルサービス株式会社	不動産管理	channel_mismatch	お仕事に関する問い合わせ専用
1290001012411	九州総合サービス株式会社	業務請負	url_invalid	保存URLが404
1430001005061	株式会社クリーンコーポレーション	不動産管理	captcha	reCAPTCHAあり
2010001004055	住友電工システムソリューション株式会社	Webアプリ・サービス運営	url_invalid	保存URLが404
