corporate_number	company_name	middle_industry	large_industry	employees	contact_form	company_url	status
2010001004501	大星ビル管理株式会社	不動産管理	不動産	1309	https://www.taisay.co.jp/form/	https://www.taisay.co.jp/company/outline.html	sent_2026-08-05
2010001049249	株式会社ディーソル	コールセンター	人材・アウトソーシング	413	https://regist.d2sol.co.jp/support2/0001_inq.cfm?group=6	https://www.d2sol.co.jp/company/outline/	excluded_connection_closed
2010001090079	株式会社ライフポート西洋	不動産管理	不動産	628	https://www.lifeport-s.com/contact/	https://www.lifeport-s.com/	excluded_service_request_only
2010001134117	株式会社エス・エム・エス	人材紹介	人材・アウトソーシング	3440	http://www.bm-sms.co.jp/contact/media/	https://www.bm-sms.co.jp/company/profile/	excluded_media_only
2010001154503	株式会社ワイズマン	受託開発	IT	575	https://www.wiseman.co.jp/inquiry/website/	https://www.wiseman.co.jp/	excluded_required_address
2010001217078	株式会社ＳＩＧ	Webアプリ・サービス運営	IT	476	https://www.sig-c.co.jp/contact/others/	https://www.sig-c.co.jp/	sent_2026-08-05
2010101006505	株式会社東和キャスト	人材派遣	人材・アウトソーシング	705	https://towa-cast.com/contact/	https://towa-cast.co.jp/	excluded_required_address
2010401006907	サントリーフィールドエキスパート株式会社	業務請負	人材・アウトソーシング	1669	https://ssl.sgn.ne.jp/sunlive/toiawase/index.html	http://www.sunlive.sgn.ne.jp/index.html	pending_precheck
2010401034593	株式会社ユニリタ	Webアプリ・サービス運営	IT	371	https://www.unirita.co.jp/inquiry/form.html	https://www.unirita.co.jp/corporate/about/profile.html	sent_2026-08-05
2010401034734	株式会社ワークスアプリケーションズ	Webアプリ・サービス運営	IT	725	https://landing.worksap.co.jp/contact.html	http://www.worksap.co.jp/	sent_2026-08-05
2010401041383	株式会社インフォマート	Webアプリ・サービス運営	IT	929	https://www2.infomart.co.jp/inquiry/default/form.page?ref=www_corporate_contact_im	https://corp.infomart.co.jp/company/profile/	excluded_required_address
2010401055029	日本プロセス株式会社	Webアプリ・サービス運営	IT	735	http://www.jpd.co.jp/contact/	https://www.jpd.co.jp/	sent_2026-08-05
2010401060020	サクサ株式会社	Webアプリ・サービス運営	IT	841	http://www.saxa.co.jp/contact/	https://www.saxa.co.jp/about/profile/	excluded_no_form
2010401068617	株式会社ソルクシーズ	受託開発	IT	557	https://www.solxyz.co.jp/products/form/	https://www.solxyz.co.jp/about/gaiyo/	excluded_product_inquiry_only
2010601032661	株式会社東京建物アメニティサポート	不動産管理	不動産	1129	https://secure3.e-state.ne.jp/ttas/contact/	https://www.ttas.co.jp/company/outline/	excluded_dns_error
2010601045804	株式会社日立システムズパワーサービス	Webアプリ・サービス運営	IT	822	https://www8.hitachi.co.jp/inquiry/hitachi-systems-ps/general/form.jsp	http://www.hitachi-systems-ps.co.jp/	sent_2026-08-05
2010901030183	アジアクエスト株式会社	ITインフラストラクチャー	IT	523	https://www.asia-quest.jp/contact/	https://www.asia-quest.jp/	sent_2026-08-05
2011001039495	株式会社スカイウイル	ITインフラストラクチャー	IT	414	https://www.skywill.jp/contact/	https://www.skywill.jp/	sent_2026-08-05
2011001043258	アルファテクノロジー株式会社	Webアプリ・サービス運営	IT	491	https://alphatc.co.jp/inquiry/	https://alphatc.co.jp/company/	sent_2026-08-05
2011001046319	ピクシブ株式会社	Webアプリ・サービス運営	IT	432	https://www.pixiv.co.jp/contact/	https://www.pixiv.co.jp/company/	excluded_browser_policy
2011001048059	株式会社スリー・イー	人材派遣	人材・アウトソーシング	1185	https://www.3ep.jp/inquiry/	https://www.3ep.jp/company/profile.html	sent_2026-08-05
2011001114141	Ｈ．Ｒ．Ｉ株式会社	人材紹介	人材・アウトソーシング	427	https://hri-group.jp/contact	https://hri-group.co.jp/company	sent_2026-08-05
2011101023151	キャリアリンク株式会社	業務請負	人材・アウトソーシング	6286	https://secure.careerlink.co.jp/form/inquiry/corporate/contact/?_ga=2.35375329.1927843505.1575870074-1890924258.1575870074	https://www.careerlink.co.jp/company/about	excluded_required_address
2011101031419	株式会社ヒューマニック	人材派遣	人材・アウトソーシング	2875	https://www.humanic.co.jp/contact.html	https://www.humanic.co.jp/company/	excluded_required_address
2011101042853	株式会社アクトプラス	人材派遣	人材・アウトソーシング	542	http://www.act-plus.co.jp/contact.html	https://www.act-plus.co.jp/company.html	excluded_applicant_only
2013201012843	株式会社ウィズ	人材派遣	人材・アウトソーシング	1069	https://job.kentakun.co.jp/contact/form.html	https://www.kentakun.co.jp/main/sub/corporate.html	excluded_applicant_only
2020001047904	株式会社ＷＯＷＯＷコミュニケーションズ	コールセンター	人材・アウトソーシング	783	https://www2.wowcom.co.jp/contactforms/view/contactForm/others/contactForm.html?te-uniquekey=15418e94970	https://www.wowcom.co.jp/	excluded_required_address
2021001014497	株式会社アルプスビジネスサービス	人材派遣	人材・アウトソーシング	674	http://www.jinzai-abs.co.jp/contactus/index.html	https://www.jinzai-abs.co.jp/corporate/	excluded_required_address
2030001004235	新日本ビルサービス株式会社	不動産管理	不動産	389	http://www.snb.co.jp/contact.php	https://www.snb.co.jp/company-info/	excluded_required_address
2040001057876	アドレス・サービス株式会社	コールセンター	人材・アウトソーシング	901	http://www.adservice.co.jp/contact.html	http://www.adservice.co.jp/	excluded_submit_stuck
2040001081851	株式会社ＧＯＯＤ　ＳＭＩＬＥ	人材派遣	人材・アウトソーシング	472	http://gs-smile.com/cp-contact/	https://gs-smile.com/	excluded_no_form
2070001016771	株式会社両毛システムズ	Webアプリ・サービス運営	IT	879	https://www.ryomo.co.jp/form/contact/	http://www.ryomo.co.jp/	excluded_wrong_channel
2080001005245	株式会社メンテックカンザイ	不動産管理	不動産	870	http://www.mentec-k.co.jp/contact/	https://www.mentec-k.co.jp/company/overview.html	sent_2026-08-05
2080001012662	株式会社ＢＲＥＸＡ　Ｎｅｘｔ	人材派遣	人材・アウトソーシング	17694	https://www.outsourcing.co.jp/contactus/	https://next.brexa.com/	pending_precheck
2100001003411	株式会社インテージテクノスフィア	受託開発	IT	609	https://www.intage-technosphere.co.jp/contact/	http://www.intage-technosphere.co.jp/	pending_precheck
2100001020984	セントラルソーシング株式会社	人材派遣	人材・アウトソーシング	386	http://c-sourcing.co.jp/contact/	http://c-sourcing.co.jp/	pending_precheck
2120001021007	東洋テックビルサービス株式会社	不動産管理	不動産	676	http://www.toyo-tec.co.jp/tecbuilservice/contact.html	https://www.toyo-tec.co.jp/tecbuilservice/	pending_precheck
2120001055731	株式会社ＪＲ西日本メンテック	業務請負	人材・アウトソーシング	1919	https://j-maintec.co.jp/contact	http://j-maintec.co.jp/corporate/#linkOutline	pending_precheck
2120001113869	グローバルコミュニティ株式会社	不動産管理	不動産	1369	https://glob-com.co.jp/contact/	https://glob-com.co.jp/	pending_precheck
2120001150169	株式会社トーコー	人材派遣	人材・アウトソーシング	3361	http://www.tkg.co.jp/cgi-bin/inquiry/index.cgi	https://www.tkg.co.jp/	pending_precheck
2120901001611	日東ビジネスエキスパート株式会社	業務請負	人材・アウトソーシング	684	https://www.nitto.co.jp/nittobs/cgi-bin/scripts/form.cgi	http://www.nitto.co.jp/nittobs/index.html	pending_precheck
2120901016130	株式会社ミライト・ワン・システムズ	Webアプリ・サービス運営	IT	440	https://miraitsystems.jp/contact/contact.html	https://www.mirait-one-systems.co.jp/company/	pending_precheck
2130001032655	株式会社ティーエム・テックス	人材派遣	人材・アウトソーシング	1057	http://www.tm-techs.co.jp/inquiry/	https://riki-group.co.jp/tm-techs/	pending_precheck
2160001013768	株式会社ワイズ関西	人材派遣	人材・アウトソーシング	1255	https://wise-kansai.com/inquiry/	https://wise-kansai.com/about/	pending_precheck
2180001057425	株式会社プラス・シー	人材紹介	人材・アウトソーシング	387	https://www.plusc.co.jp/service_02/	https://www.plusc.co.jp/about/	pending_precheck
2180001082002	株式会社ＢＲＥＸＡ　Ａｖａｎｃｅ	人材派遣	人材・アウトソーシング	2916	https://www.avance-corp.com/inquiry/index.html	https://www.avance-corp.com/	pending_precheck
2180301007187	株式会社マルサン	人材派遣	人材・アウトソーシング	2200	https://quality-japan.jp/marusan_form/index.html	https://kumiai.xsrv.jp/marusan/company/kyoten/index.html	pending_precheck
