corporate_number	email	company_name	batch	accepted_at
7120001035464	info@fujiarte.co.jp	フジアルテ株式会社	pilot	2026-08-04
7010401001556	info.tokyo@accenture.com	アクセンチュア株式会社	pilot	2026-08-04
7480001001711	workstaff@ws-gp.co.jp	株式会社ワークスタッフ	pilot	2026-08-04
6010001011147	info@iij.ad.jp	株式会社インターネットイニシアティブ	pilot	2026-08-04
2011101056358	info@nttd-i.co.jp	株式会社NTTデータ・アイ	pilot	2026-08-04
1010001088264	central@central-con.co.jp	セントラルコンサルタント株式会社	bulk-email-batch-001.tsv	2026-08-04
1010001108872	info@kumahira.co.jp	株式会社クマヒラ	bulk-email-batch-001.tsv	2026-08-04
1010001139901	info@iijglobal.co.jp	株式会社IIJグローバルソリューションズ	bulk-email-batch-001.tsv	2026-08-04
1010001159494	pfn-info@preferred.jp	株式会社Preferred Networks	bulk-email-batch-001.tsv	2026-08-04
1010401057595	istyle-info@istyle.co.jp	株式会社アイスタイル	bulk-email-batch-001.tsv	2026-08-04
1010701029988	info@adish.co.jp	アディッシュ株式会社	bulk-email-batch-001.tsv	2026-08-04
1011001062713	info@sounds-good.co.jp	株式会社サウンズグッド	bulk-email-batch-001.tsv	2026-08-04
1011001100423	info@ignitionpoint-inc.com	イグニション・ポイント株式会社	bulk-email-batch-001.tsv	2026-08-04
1011201000828	inquiry@nddhq.co.jp	株式会社エヌデーデー	bulk-email-batch-002.tsv	2026-08-04
1070001006063	info@asuka-hu.co.jp	株式会社アスカ	bulk-email-batch-002.tsv	2026-08-04
1100001011530	info@nisseijushi.co.jp	日精樹脂工業株式会社	bulk-email-batch-002.tsv	2026-08-04
1011001117178	inquiry@digitalidentity.co.jp	株式会社デジタルアイデンティティ	bulk-email-batch-002.tsv	2026-08-04
1080001012804	info@fut.co.jp	富士テクノロジー株式会社	bulk-email-batch-002.tsv	2026-08-04
1040001057646	info@c-s-lumber.co.jp	株式会社シー・エス・ランバー	bulk-email-batch-002.tsv	2026-08-04
2010001091903	info@field-serve.com	株式会社フィールドサーブジャパン	bulk-email-batch-002.tsv	2026-08-04
1013401001399	info@twk.co.jp	株式会社トゥインクル	bulk-email-batch-002.tsv	2026-08-04
1011101054073	sales@serverworks.co.jp	株式会社サーバーワークス	bulk-email-batch-003.tsv	2026-08-04
1020001013421	sales@geomatec.co.jp	ジオマテック株式会社	bulk-email-batch-003.tsv	2026-08-04
1120001123274	information@crtm.co.jp	株式会社カスタマーリレーションテレマーケティング	bulk-email-batch-003.tsv	2026-08-04
1120001092585	info@workstation.co.jp	株式会社ワークステーション	bulk-email-batch-003.tsv	2026-08-04
1120001090457	info@midorikai.co.jp	株式会社みどり会	bulk-email-batch-003.tsv	2026-08-04
1010001070040	info@sanwa-e.jp	三和エンジニアリング株式会社	bulk-email-batch-003.tsv	2026-08-04
1120001079599	mail@koyu.co.jp	株式会社コーユービジネス	bulk-email-batch-003.tsv	2026-08-04
1120001050238	info@toyotanso.co.jp	東洋炭素株式会社	bulk-email-batch-003.tsv	2026-08-04
1010001075808	fasmktg@jp.kpmg.com	株式会社KPMG FAS	bulk-email-batch-004.tsv	2026-08-04T07:50:12Z
1011001047004	info@boschrexroth.co.jp	ボッシュ・レックスロス株式会社	bulk-email-batch-004.tsv	2026-08-04T07:50:14Z
1020001015606	info@cij.co.jp	株式会社CIJ	bulk-email-batch-004.tsv	2026-08-04T07:50:16Z
1020001037724	sales-contact@nttdata-force.co.jp	NTTデータフォース株式会社	bulk-email-batch-005.tsv	2026-08-04T07:53:20Z
1011001017717	webmaster@gw.nsw.co.jp	NSW株式会社	bulk-email-batch-005.tsv	2026-08-04T07:53:22Z
1012401004635	webmaster@dts-insight.co.jp	株式会社DTSインサイト	bulk-email-batch-005.tsv	2026-08-04T07:53:24Z
1010001147706	information_kjfc@kohjin.co.jp	興人フィルム＆ケミカルズ株式会社	bulk-email-batch-006.tsv	2026-08-04T07:55:38Z
1010701008364	soumu@hewtech.co.jp	平河ヒューテック株式会社	bulk-email-batch-006.tsv	2026-08-04T07:55:40Z
1070001013126	webmaster@iwase-net.co.jp	岩瀬産業株式会社	bulk-email-batch-006.tsv	2026-08-04T07:55:41Z
1010701005766	tokyo@takigen.co.jp	タキゲン製造株式会社	bulk-email-batch-007.tsv	2026-08-04T07:57:45Z
1010701005270	sodan@cemedine.co.jp	セメダイン株式会社	bulk-email-batch-007.tsv	2026-08-04T07:57:46Z
1010401089977	Webmaster-aljp@airliquide.com	日本エア・リキード合同会社	bulk-email-batch-007.tsv	2026-08-04T07:57:48Z
1011001017865	callct@ndk.com	日本電波工業株式会社	bulk-email-batch-008.tsv	2026-08-04T07:59:56Z
1010601030369	Mitsubishiln-Net@lnet.mellife.co.jp	株式会社三菱電機ライフネットワーク	bulk-email-batch-008.tsv	2026-08-04T07:59:58Z
2010901015622	mktg@bridge-g.com	ブリッジインターナショナルグループ株式会社	bulk-email-batch-009.tsv	2026-08-04T08:02:09Z
2011001062349	ctcfc-sales@ctc-g.co.jp	CTCファーストコンタクト株式会社	bulk-email-batch-009.tsv	2026-08-04T08:02:10Z
