株式会社インド・ビジネス・センター	1010001011069	0	http://www.ibcjpn.com/company/contact_us/	https://ibcjpn.com/company/	inquiry-ibc_rc@ibcjpn.com	03-5282-4277	1010052	東京都	千代田区神田小川町２丁目８番地２０光輪ビル	東京都千代田区神田小川町２丁目８番地２０光輪ビル	インド進出・現地法人設立などのコンサルティングを行う企業	1997年4月に東京都で設立された企業です。同社は、インド進出や現地法人の設立など、海外ビジネスにおけるコンサルティングを専門としています。主な事業は、人材・アウトソーシング、コンサルティング、人材紹介、財務コンサル、経営コンサルを含む幅広い領域のサービスを提供しています。	コンサルティング	経営コンサル
株式会社コーポレートデザイン研究所	1010001016654	0	http://corporate-d.com/contact/form.php	http://corporate-d.com/index.html	info@corporate-d.com		1020092	東京都	千代田区隼町二丁目１２番藤和半蔵門コープ２０８	東京都千代田区隼町二丁目１２番藤和半蔵門コープ２０８	企業のブランド戦略や事業支援を行うコンサルタント企業	東京都に所在するコンサルタント企業です。企業のブランド戦略や事業支援を行い、ブランド戦略策定事業、マーケティングコンサルティング事業、市場リサーチ事業を主要な業務としています。主な取引先はIT、その他サービス業界で、Webマーケコンサル、販促コンサル、研究・調査・リサーチ、経営コンサルなどの分野で幅広く活動しています。	コンサルティング	経営コンサル
株式会社アイシーディー	1010001035316	1	http://icd.bz/contact/	http://icd.bz		03-3536-2606	1030008	東京都	中央区日本橋中洲４番地１５号	東京都中央区日本橋中洲４番地１５号	企業の経営や不動産に関するコンサルティングを提供する企業	1991年7月に東京都で設立され、企業の経営や不動産に関するコンサルティングを提供しています。その中でも主力事業である海外ビジネスアドバイザリー事業を展開しており、コンサルティング、経営コンサル、その他コンサル、不動産コンサルの分野での専門知識を生かし、顧客のニーズに適切なソリューションを提供しています。東京都に拠点を置く同社は、多くの企業に対して信頼と実績を築いています。	コンサルティング	経営コンサル
株式会社ジェムコ日本経営	1010001046379	28	https://jemco.lmsg.jp/form/11854/F85CN20q	https://www.jemco.co.jp/company/profile.html/		03-5565-4101	1000011	東京都	千代田区内幸町２丁目１番１号	東京都千代田区内幸町２丁目１番１号	コンサル企業で、経営戦略や人材開発などを支援企業	東京都に拠点を置くコンサル企業です。マーケティングコンサルティング事業や人材戦略コンサルティング事業などを通じて、経営戦略や人材開発などの支援を行っています。同社は1968年2月に設立され、コンサルティング、販促コンサル、組織コンサル、経営コンサルの業界で活動しています。	コンサルティング	経営コンサル
ディライト株式会社	1010001051107	2	https://www.delight-ginza.com/company/contact/	https://www.delight-ginza.com/company/profile/	info@delight-pensions.co.jp	03-6264-0955	1040061	東京都	中央区銀座８丁目１５番２号ＡＣＮ銀座ビル５階	東京都中央区銀座８丁目１５番２号ＡＣＮ銀座ビル５階	事業継承・節税対策のコンサルを行う企業	東京都に位置し、1997年5月に設立された事業継承・節税対策のコンサルティング企業です。主な業務として、DVD制作サービス事業、営業支援サービス事業、税金対策事業、研修セミナー事業、相続アドバイザリー事業を展開しています。士業、広告・制作、人材・アウトソーシング、税理士、企業研修、CM制作・映像制作、セミナー、財務コンサル、販促コンサル、資産運用コンサルなど、幅広い業界でのコンサルティングサービスを提供しています。	コンサルティング	財務コンサル
デロイトトーマツＴＭＡＣ株式会社	1010001063424	0	https://tmac.tokyofloor.com/inquiry	https://www.t-mac.co.jp	info@t-mac.co.jp	03-5207-2486	1000005	東京都	千代田区丸の内３丁目２番３号丸の内二重橋ビルディング	東京都千代田区丸の内３丁目２番３号丸の内二重橋ビルディング	M&Aアドバイザー企業を運営企業	東京都に位置するM&Aアドバイザー企業を運営しています。1999年1月に設立され、主にコンサルティングや経営コンサル業界で活躍しています。	コンサルティング	経営コンサル
株式会社ワールドベンチャー	1010001066534	1	https://worldventure.jp/inquiry/	https://worldventure.jp/about_us/		03-3241-7111	1030027	東京都	中央区日本橋３丁目４番１５号	東京都中央区日本橋３丁目４番１５号	経営コンサル、PRなどのサービスを提供する企業	東京都を拠点にした経営コンサルやPRなどの幅広いサービスを提供する企業です。1999年11月に設立された同社は、エンタメ・娯楽、コンサルティング、イベント、販促コンサル、経営コンサルなどの産業に関与しています。特にイベントプランニング事業においては、高品質なサービスを提供しています。	コンサルティング	経営コンサル
株式会社アクシィ経営支援室	1010001070858	8	http://axy-net.jp/question-to-axy	http://axy-net.jp/		03-5211-7872	1610033	東京都	新宿区下落合４丁目４番３号山本ビル	東京都新宿区下落合４丁目４番３号山本ビル	コンサル、セミナーなどの経営サービスを提供する企業	東京都に拠点を置く経営サービスを提供する企業であり、セミナー企画・運営事業、研修セミナー事業、会計・税務アドバイザリー事業を行っています。1986年に設立され、士業、人材・アウトソーシング、コンサルティング、企業研修、会計士、セミナー、経営コンサルの産業に従事しています。	コンサルティング	経営コンサル
株式会社ピコテックホールディングス	1010001072904	4	http://picotec.jp/inquiry/form.html	http://www.picotec.jp/company/index.html		03-3262-5512	1020083	東京都	千代田区麹町４丁目５番地	東京都千代田区麹町４丁目５番地	企業が経営コンサルや職業紹介を行う企業	2001年2月に設立され、東京都に拠点を置く企業です。同社は、機械、美容・アパレル、IT、人材・アウトソーシング、小売・販売・卸売、コンサルティング、職業紹介所などの幅広い業界で経営コンサルや職業紹介を行っています。また、主な事業として、衣料品OEM事業、雇用支援事業、ソフトウェア流通事業、ファッションアイテムの輸入事業を展開しています。	コンサルティング	経営コンサル
株式会社ＫＰＭＧ　ＦＡＳ	1010001075808	1177	https://home.kpmg.com/xx/en/home/misc/contact.html	https://home.kpmg/jp/ja/home/about/fas.html	fasmktg@jp.kpmg.com	03-3548-5770	1000004	東京都	千代田区大手町１丁目９番５号	東京都千代田区大手町１丁目９番５号	企業が事業再生やM&Aを支援する企業	東京都に拠点を置く企業で、2001年9月9日に設立されました。同社は、金融、コンサルティング、クレジット・決済代行、経営コンサルティングの業界において、企業の事業再生やM&Aを支援しています。また、同社の主な業務はクレジットチェック事業です。	コンサルティング	経営コンサル
株式会社パートナーズ・コンサルティング	1010001077829	67	https://partners-inc.co.jp/contact/	https://partners-inc.co.jp/about/access.html		03-3510-1033	1040031	東京都	中央区京橋１丁目３番１号八重洲口大栄ビル１２階	東京都中央区京橋１丁目３番１号八重洲口大栄ビル１２階	税務・会計コンサルタント企業	東京都を拠点に活動する税務・会計コンサルタント企業です。2000年6月に設立され、会計・税務アドバイザリー事業、ビジネスコンサルティング事業、税務申告書作成事業を主要な業務としています。士業、コンサルティング、税理士、会計士、財務コンサル、経営コンサルなどの分野で幅広いサービスを提供しています。	コンサルティング	経営コンサル
フィナンシャル・アドバイザーズ株式会社	1010001082127	5	http://financial-a.com/contact/	https://www.financial-advisors.co.jp/	mail@financial-a.com	03-3511-8221	1020072	東京都	千代田区飯田橋２丁目６番６号ヒューリック飯田橋ビル６階	東京都千代田区飯田橋２丁目６番６号ヒューリック飯田橋ビル６階	コンサル、人材派遣を手掛ける企業経営分析やM&A支援も行う企業	2002年4月1日に東京都に設立された企業です。同社は、コンサル、人材派遣を手掛ける一方で、企業経営分析やM&A支援も行っています。また、財務アドバイザリー事業や企業内トレーニングアウトソーシング事業、求職者向け情報提供サイトの運営事業も展開しています。主要な業界は、人材・アウトソーシング、コンサルティング、企業研修、求人媒体運営・求人情報誌出版、財務コンサル、人材派遣、経営コンサルです。	コンサルティング	経営コンサル
株式会社事業承継・相続コンサルタンツ	1010001083406	0	http://www.jigyoshokei-sozoku.com/mail.html	http://www.jigyoshokei-sozoku.com		052-253-8891	1000006	東京都	千代田区有楽町１丁目２番１５号ＵＮビル７Ｆ	東京都千代田区有楽町１丁目２番１５号ＵＮビル７Ｆ	企業の事業継承をサポートするコンサルティング企業	2003年に東京都で設立されたコンサルティング企業です。同社は、企業の事業継承をサポートすることを専門としており、セミナー企画・運営事業や税金対策事業、研修セミナー事業など様々な事業を展開しています。士業、人材・アウトソーシング、コンサルティングなどの領域で活動しており、税理士、会計士、経営コンサルなどの専門知識を活かして、企業の成長や発展を支援しています。	コンサルティング	経営コンサル
株式会社ニューハンプシャーＭＣ	1010001089915	2	https://2004foryou.jp/contact/	https://2004foryou.jp/company/company_profile/		03-6803-2902	1120002	東京都	文京区小石川５丁目３９－１５－１Ｆ	東京都文京区小石川５丁目３９－１５－１Ｆ	医療経営のコンサルを提供する企業	2004年9月に東京都で設立された医療経営のコンサルを提供する企業です。主な事業はチラシ・パンフレット作成事業であり、コンサルティングや経営コンサルの業界で活躍しています。	コンサルティング	経営コンサル
ＺＥＣＯＯパートナーズ株式会社	1010001092943	4	https://zecoop.com/contact/	https://www.zecoop.com/		03-3234-8883	1020082	東京都	千代田区一番町１３番３号	東京都千代田区一番町１３番３号	企業の財務・会計をサポートするコンサルタント企業	東京都に拠点を置く企業であり、2005年4月に設立されたコンサルタント企業です。同社は、企業の財務・会計をサポートすることを専門とし、コンサルティングや財務コンサルの業界で活動しています。	コンサルティング	財務コンサル
アウトルックコンサルティング株式会社	1010001098759	83	https://www.outlook.co.jp/contact	https://www.outlook.co.jp/company/	info@outlook.co.jp	03-5524-6400	1070062	東京都	港区南青山３丁目１番３号スプライン青山東急ビル	東京都港区南青山３丁目１番３号スプライン青山東急ビル	企業経営を支援する管理会計・経営管理コンサルティング企業	東京都を拠点にする企業経営を支援する管理会計・経営管理コンサルティング企業です。2006年04月12日に設立され、会計システムコンサルティング事業、セミナー企画・運営事業、研修セミナー事業、経営コンサルティング事業、経営管理システム開発・提供事業、経営研修事業などを展開しています。主な業界はIT、人材・アウトソーシング、コンサルティング、Webアプリ・サービス運営、企業研修、セミナー、財務コンサル、経営コンサルです。	コンサルティング	経営コンサル
株式会社ＳＣプランニング	1010001101860	0	http://sc-planning.jp/inq/index.html	https://www.sc-planning.jp/	info@sc-planning.jp	03-5577-5211	1020074	東京都	千代田区九段南１丁目５番６号りそな九段ビル５ＦＫＳフロア	東京都千代田区九段南１丁目５番６号りそな九段ビル５ＦＫＳフロア	企業がリーシングや調査で施設を活性化させている企業	東京都に位置する企業であり、2005年11月に設立されました。彼らは主にリーシングや調査を通じて施設の活性化を支援しています。アンケート調査代行事業とマーケティングコンサルティング事業を提供しており、人材・アウトソーシング、コンサルティング、業務請負、販促コンサル、経営コンサルの産業に関与しています。	コンサルティング	経営コンサル
株式会社ブラボーグループ	1010001103444	21	https://bravogroup.co.jp/contact/	https://trxtraining.jp/about/profile/		03-3511-1452	1020072	東京都	千代田区飯田橋２丁目１番１０号	東京都千代田区飯田橋２丁目１番１０号	フィットネスクラブ向けプログラム・音楽提供企業	1997年4月に設立された東京都に本社を構えるフィットネスクラブ向けプログラム・音楽提供企業です。同社は営業支援サービス事業、研修セミナー事業、音楽制作事業を展開しており、広告・制作、人材・アウトソーシング、小売・販売・卸売、コンサルティング、CM制作・映像制作、セミナー、マルチメディア・楽器、経営コンサル、その他コンサルという幅広い業界にサービスを提供しています。	コンサルティング	経営コンサル
Ｇ－ＦＡＳ株式会社	1010001105226	20	https://gcafas.com/jp/contact/	https://gcafas.com/jp/%E6%8B%A0%E7%82%B9/	info@gcafas.com	03-6228-6162	1040031	東京都	中央区京橋１丁目１番１号	東京都中央区京橋１丁目１番１号	M&Aアドバイザリー企業（デューデリジェンス支援）	東京都に拠点を置くM&Aアドバイザリー企業です。主な業務は、デューデリジェンスの支援を行っており、税務アドバイザリー事業および財務アドバイザリー事業にも従事しています。士業、コンサルティング、税理士、財務コンサル、経営コンサルなどの業界で活躍しています。	コンサルティング	経営コンサル
株式会社ヒューマン・ソース	1010001108360	0	http://www.humansource.co.jp/inquiry/	http://www.humansource.co.jp/		03-6380-4580	1020074	東京都	千代田区九段南３丁目８番１３号九段靖苑ビル	東京都千代田区九段南３丁目８番１３号九段靖苑ビル	人事・経営コンサルタント企業	東京都に位置する人事・経営コンサルタント企業です。同社は2006年6月に設立され、給与処理アウトソーシング事業、財務・会計業務アウトソーシング事業、人材採用支援事業などを展開しています。主要な業界は人材・アウトソーシング、コンサルティング、人材派遣、その他人材、組織コンサル、経営コンサルです。	コンサルティング	経営コンサル
株式会社ＧＩＰ	1010001111876	0	http://g-i-p.jp/form01.html	http://g-i-p.jp		03-6808-1491	5420081	大阪府	大阪市中央区南船場２丁目５番１９号３階	大阪府大阪市中央区南船場２丁目５番１９号３階	中小企業のための経営コンサルや支援を提供する企業	2000年12月に大阪府で設立された企業であり、中小企業のための経営コンサルや支援を提供しています。さらに、広告クリエイティブ事業および医療器具販売事業も手掛けており、医療・製薬・福祉、広告・制作、コンサルティング、医療機器、広告制作、経営コンサルという複数の業界で活動を展開しています。	コンサルティング	経営コンサル
株式会社アイビス・キャピタル・パートナーズ	1010001111975	11	http://www.ibis-cap.com/contact.html	http://www.ibis-cap.com		03-3524-1211	1040061	東京都	中央区銀座４丁目１２番１５号	東京都中央区銀座４丁目１２番１５号	M&Aアドバイザリー・投資事業組合運営企業	東京都を拠点にしてM&Aアドバイザリー・投資事業組合の運営企業です。2007年8月に設立され、スタートアップ投資事業や海外ビジネスアドバイザリー事業などを展開しています。業界は金融、コンサルティング、経営コンサル、その他コンサル、ベンチャーキャピタルに所属しています。	コンサルティング	経営コンサル
株式会社エム・シー・アイ	1010001112445	143	https://www.medical-ci.co.jp/inquiry_detail/index.php	https://www.medical-ci.co.jp/company/companyinfo/		03-3517-2831	1030022	東京都	中央区日本橋室町１丁目７番１号	東京都中央区日本橋室町１丁目７番１号	医療機器・医薬品の市場調査・コンサルティングを行う企業	2007年5月1日に東京都で設立された医療機器・医薬品の市場調査・コンサルティング企業です。同社は医療情報サービス事業、データ解析事業、市場リサーチ事業、Webマーケティング支援事業を展開しています。主な業界は医療・製薬・福祉、IT、その他サービスであり、コンサルティング、Webマーケコンサル、ITコンサル、研究・調査・リサーチ、経営コンサルなどを行っています。	コンサルティング	経営コンサル
株式会社ただいま	1010001112841	1	https://www.tadaimainc.jp/contact	https://www.tadaimainc.jp/company	tsubasa@tadaimainc.jp	03-5201-3738	2310062	神奈川県	横浜市中区桜木町１丁目１番７号	神奈川県横浜市中区桜木町１丁目１番７号	地域に根ざした事業を支援する企業	神奈川県を拠点に地域に根ざした事業を支援する企業です。2007年10月に設立され、人材・アウトソーシング、不動産、コンサルティングなどの様々な業種に関わっています。マーケティングコンサルティング事業、地方創生事業、商品開発事業、研修セミナー事業、販促企画事業など、幅広いサービスを提供しています。	コンサルティング	経営コンサル
株式会社ナレッジサイン	1010001114482	1	https://ssl.k-signs.co.jp/form/contact.html	http://www.k-signs.co.jp	info@k-signs.co.jp	03-3555-6901	1510072	東京都	渋谷区幡ヶ谷２丁目１８－４カナデール幡ヶ谷６０１	東京都渋谷区幡ヶ谷２丁目１８－４カナデール幡ヶ谷６０１	ファシリテーターによる営業・組織コンサルを手がける企業	2003年4月に設立された東京都を拠点とする企業です。同社は、ファシリテーターによる営業・組織コンサルを手がけており、営業支援サービス事業および企業内トレーニングアウトソーシング事業を展開しています。主に人材・アウトソーシング、コンサルティング、企業研修、経営コンサルなどの業界で活動しています。	コンサルティング	経営コンサル
株式会社クロニット	1010001115679	6	http://www.clonit.co.jp/corp/contact.html	https://www.clonit.co.jp/corp/company.html		03-4405-1950	1000011	東京都	千代田区内幸町１丁目３番１号	東京都千代田区内幸町１丁目３番１号	クリエイティブ事業（経営コンサル、Web制作など）	東京都に拠点を置くクリエイティブ事業を展開する会社であり、経営コンサルティングやWeb制作などを行っています。2008年2月1日に設立された同社は、メディアコンテンツ制作事業、ネットワークインフラ設置事業、モバイルアプリケーション開発事業にも取り組んでいます。広告・制作、IT、コンサルティング、Webマーケコンサル、Webアプリ・サービス運営、コンテンツ制作、ITインフラストラクチャー、受託開発、スマホアプリ、経営コンサルといった幅広い業界にサービスを提供しています。	コンサルティング	経営コンサル
株式会社メディライン	1010001116322	0	http://medilinejp.com/contact.html	http://medilinejp.com/		03-5848-4530	1010061	東京都	千代田区神田三崎町２丁目９番１２号	東京都千代田区神田三崎町２丁目９番１２号	医療機関向け経営コンサルを提供する企業	東京都を拠点に、医療機関向け経営コンサルを提供している企業です。主な業務は、人材戦略コンサルティング事業であり、組織コンサルや経営コンサルにも力を入れています。2004年1月に設立され、現在はコンサルティング業界で活躍しています。	コンサルティング	経営コンサル
システム企画研修株式会社	1010001124886	0	http://www.newspt.co.jp/data/contact.html	http://www.newspt.co.jp/index.html		03-5695-3130	1030001	東京都	中央区日本橋小伝馬町１６番２号	東京都中央区日本橋小伝馬町１６番２号	MIND-SAを活用したシステム企画を行う企業	2002年4月に設立された東京都に拠点を置く企業です。同社は、MIND-SAを活用したシステム企画を専門とし、営業支援サービス事業、研修セミナー事業、企業内トレーニングアウトソーシング事業などを展開しています。主な業界は人材・アウトソーシング、コンサルティング、企業研修、セミナー、経営コンサルなどです。	コンサルティング	経営コンサル
株式会社ワールドプレミアムコンサルティング	1010001127641	0	http://wpc-i.com/contact.html	http://wpc-i.com/	info@wpc-i.com	03-3450-1170	1080075	東京都	港区港南４丁目７番５９－４０４号	東京都港区港南４丁目７番５９－４０４号	経営・人事コンサルタント企業	東京都に拠点を置く経営・人事コンサルタント企業です。2009年に設立され、主な事業としては、企業内トレーニングアウトソーシング事業と人材戦略コンサルティング事業を展開しています。人材・アウトソーシング、コンサルティング、企業研修、組織コンサル、経営コンサルなどの業界で活動しています。	コンサルティング	経営コンサル
株式会社東京四社営業委員会	1010001129530	7	https://tokyo-yonsha.gr.jp/inquiry/index.php	http://www.tokyo-yonsha.gr.jp/		03-3666-9811	1030023	東京都	中央区日本橋本町４丁目１５番１１号	東京都中央区日本橋本町４丁目１５番１１号	4社のタクシー企業を統合運営する企業	東京都を拠点に4社のタクシー企業を統合運営する企業です。1963年8月に設立され、主にタクシー利用者向けのチケット発行事業を行っています。業界は小売・販売・卸売、コンサルティング、その他小売・販売、経営コンサルに属しています。	コンサルティング	経営コンサル
バンガード・パートナーズ株式会社	1010001132617	8	http://www.vanguard-p.com/contact/index.html	https://vanguard-p.com/about/	info@vanguard-p.com	03-6225-2833	1040031	東京都	中央区京橋２丁目１－３	東京都中央区京橋２丁目１－３	ホスピタリティ業界のサービス提供企業（ホテル・旅館売買支援など）企業	2010年5月に東京都で設立されたホスピタリティ業界のサービス提供企業です。同社は、ホテル・旅館売買支援などの業務に加えて、データ解析事業および営業支援サービス事業を展開しています。主な業種はIT、人材・アウトソーシング、コンサルティング、人材紹介、その他IT、経営コンサル、その他コンサル、不動産コンサルなどです。	コンサルティング	経営コンサル
株式会社Ｍ－ＩＴコンサルティング	1010001132922	14	https://mit.co.jp/inquiry/	https://mit.co.jp/company/		03-6225-2841	1030027	東京都	中央区日本橋３丁目２番９号	東京都中央区日本橋３丁目２番９号	経営コンサルタント企業が提供するサービス企業	2010年5月に東京都で設立された経営コンサルタント企業です。同社は営業支援サービス事業、人材戦略コンサルティング事業、ビジネスコンサルティング事業を展開しており、主に人材・アウトソーシング、コンサルティング、企業研修、組織コンサル、経営コンサルなどの業界で活動しています。	コンサルティング	経営コンサル
